EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7796989008610,39.9,39,0,1
7798241550011,0,0,0,1
7798109152234,89,19,0,1
5010106111925,516.45,15,0,1
7796373000220,60,5,252,1
7790130001260,25,45,50,1
7790990990360,100,11,8,1
7793620003560,127,33,315,1
7790480000487,64,1,20,1
7794626006708,176,17,220,1
7790036047324,27,0,12,1
7797942000474,114.69,41,900,1
7798113300164,0,0,0,1
7500435023115,26.5,37,2460,1
7794980910246,0,0,0,1
7795323002499,20.56,124,7500,1
7798092840354,117,19,0,1
7794520025638,44,38,234,1
7793360805707,43.99,79,2304,1
7794000598164,19.6,104,4420,1
7794940000864,75,55,1812,1
7798088960042,97,22,36,1
7791130002233,127,9,24,1
7791568000719,10.5,12,1080,1
9044400841024,0,0,0,1
7793750000156,0,0,0,1
7790580105938,3.6,121,37368,1
7791293030289,43.56,16,432,1
7790580174705,13.5,21,120,1
7798108832533,115,16,318,1
7792756010053,263,1,0,1
7794626007187,77,38,2466,1
7613035867604,130,14,0,1
80273608,208,6,0,1
7790520007261,36,20,1356,1
7793306000227,57,29,0,1
7792504000305,37,17,84,1
7896607100099,174,25,1248,1
7790150160909,41.36,53,5280,1
8005829230333,0,0,0,1
7798159715793,24.63,54,1710,1
7791290004122,66.3,64,2832,1
7790580984113,4.5,1172,131904,1
7798146130622,56,18,105,1
7790895067587,15,19,0,1
7793350000266,167,5,246,1
7798113301130,0,0,0,1
7798159716103,19,309,12625,1
41789002915,17,55,7248,1
7790335001034,0,0,0,1
7790070413178,16.99,599,9648,1
7790577002882,206,15,102,1
7790971000637,0,0,0,1
7793360815003,33.3,0,0,1
7798141711000,11.9,5,2322,1
7790577001793,1649,0,0,1
7790520009418,80,8,306,1
41789002977,17,49,1560,1
7790470003207,357.08,30,0,1
7798151675026,24.2,25,240,1
7790742134608,35.5,278,0,1
7798152223141,72,1,60,1
7790036567440,0,0,0,1
7790895067532,0,0,48,1
7500435012102,5.4,0,1728,1
7790416640312,0,0,0,0
41554238747,0,0,0,0
7798037560729,88,24,864,1
7791293025179,42.7,19,72,1
7791690709054,94.5,6,0,1
7797775000276,0,0,0,1
7798021970145,0,0,0,1
7798082000485,20,9,0,1
7501017005765,61,24,24,1
7798111007829,26.4,26,16380,1
7790387010329,48.07,70,4660,1
7790957000163,78,21,312,1
7792390620229,51,30,3528,1
7792860002951,77,12,24,1
7791905003700,58.9,0,2940,1
7790150006177,173,18,972,1
7790828104419,0,0,105,1
7790520011220,45,16,720,1
7791720001912,8.5,680,137184,1
7891962036861,37.5,0,128,1
7798159718329,24,25,1320,1
7790828103436,0,0,90,1
7790150540350,27.1,32,5975,1
7891024116128,48,15,5760,1
7791708610761,0,0,0,1
7798031151060,6.9,42,0,1
7798152224124,26.5,38,0,1
7798036830151,33,38,190,1
7792860008830,94,0,60,1
7792389000292,0,0,0,1
7791130681254,35,12,180,1
7793253001438,23.5,17,3165,1
7798079230109,24.6,0,320,1
