EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7794626006715,176,17,160,1
7790036000749,34,27,648,1
7790239000188,79,20,0,1
7792319064073,96.89,201,11766,1
7798108347129,38.69,79,7692,1
7793704000744,18.3,0,0,1
7798108347204,20.8,22,180,1
77944412,9.9,146,0,1
7792183000016,97,23,408,1
7798241550011,0,0,0,1
7790580103361,15.5,150,0,1
7798062543773,8.04,11,0,1
7798104282332,280,0,0,1
7798068480539,0,0,0,1
7790900015176,71,25,96,1
7798159719968,20.63,25,896,1
7798045213938,171,0,0,0
7790365013076,0,0,0,1
7790070690517,59,0,0,1
7506339391527,31.5,19,1296,1
7798062541861,20.1,5,0,1
70942303101,60,9,12,1
7792197001030,40.8,15,130,1
77940704,34.99,49,15096,1
7790070411969,48,27,4212,1
7791540047046,157,8,1152,1
7791675904474,51,12,0,1
7791293035338,67.49,12,144,1
7790975017013,149,22,228,1
3614220077697,169,0,0,0
7794270000152,0,0,0,1
7899706126915,162,16,60,1
7791905002840,44.9,1,0,1
7790072000154,50,12,48,1
7896004004044,63,9,528,1
7509552913491,155,6,12,1
7790742112019,16,106,0,1
7798179490038,35,0,1450,0
7622300990114,82,0,0,1
7791070000504,0,0,0,1
7622300759537,34,22,408,1
7798159715298,42,22,216,1
7798162490304,210,17,0,1
7622300871499,15.1,43,252,1
3014260278922,40,16,1044,1
7793008006336,64,25,24,1
7794000000162,31,25,660,1
7793306000364,80,10,1610,1
3607347415589,34,23,60,1
7790520010605,20.7,11,2028,1
7792931000039,16.8,174,70602,1
3607345380643,119,0,0,0
7791675908069,71,20,84,1
7795933202067,52,14,144,1
7798159715984,9.59,30,360,1
7798152229211,24,829,79560,1
7790060009329,106,15,4116,1
7791130029414,19.9,14,576,1
8001250120113,77,26,24,1
7790577041515,259,8,192,1
7622300724306,15.6,33,2970,1
7791200000220,79,30,0,1
7791905004394,35.99,0,0,1
7891010702199,106,10,198,1
7790240093780,229,19,30,1
7798159717308,24.75,10,56,1
7806500773610,86,12,144,1
7798159717445,150,18,36,1
77916419,6.5,505,1200,1
7500435109512,161,63,72,1
7798113300225,0,0,0,1
7790045000778,44,27,1498,1
7791293030302,48.4,13,2008,1
7790380015888,75,13,160,1
7790950130805,33.85,45,7128,1
70942000307,60,12,48,1
7790365013458,0,0,0,1
7791130681384,44.8,48,3432,1
7794440003440,10.5,31,4900,1
7793253001629,28,6,504,1
7791120000621,13,28,228,1
7790520011930,46,18,1284,1
7793147009168,115,17,0,1
7891010604899,61.99,26,260,1
7798108347617,35,6,384,1
7793253001339,42.1,19,872,1
7790250049173,300,71,1695,1
7798062543896,33.45,16,18,1
7790010601979,76,24,1416,1
7791250001345,154.49,49,1728,1
7793817000631,89,11,72,1
7792390620229,53,15,3000,1
7795735000106,21,90,7320,1
7790084094028,29,0,0,1
7798175714398,0,0,0,0
7798181810039,230,15,0,1
7795323002680,67,0,0,1
7793253001889,20.51,128,4764,1
7613035098701,0,0,0,1
3614220617022,90,0,0,0
7891024134429,65,61,1488,1
7798031150988,13,9,3168,1
7798033333440,15.9,5,17796,1
7798152220898,79,8,36,1
7792197001016,33.75,3,0,1
7791120001369,12.5,0,0,1
7792550700549,13,0,0,1
7791070000047,32,16,1176,1
7790900015527,79.99,2,0,1
7791293033754,74,11,336,1
7793147118822,21,175,7608,1
8001876021023,0,0,12,1
7794080000083,0,0,0,1
7793940653001,58.3,16,0,1
7790272000046,73,19,75,1
3607348809837,0,0,0,0
7702010111839,35.2,50,2736,1
7798104971908,120,11,144,1
7790520009760,98,26,174,1
7791078022737,24,32,9384,1
7790580112943,0,0,0,1
3600531297633,0,0,0,0
7798159713812,0,0,5868,1
7798116251067,0,0,0,0
7899706127226,162,11,0,1
7792335000314,34,23,855,1
7798141715220,29,25,48,1
7798159717872,18,26,2670,1
7790010599283,57,28,1248,1
7790040110687,14,2,0,1
7793253099237,30,13,792,1
7791293029573,84.85,290,240,1
7795697431345,49,43,228,1
7798045215024,106,0,0,0
7795697000190,51,258,4068,1
7790189001129,179,31,11874,1
7790580716707,20.5,44,4320,1
7790310006801,73,14,0,1
7795699000075,0,0,0,1
7792640000290,114,10,336,1
7791290001275,169,9,600,1
7793755000694,0,0,0,1
7792070000556,59,24,96,1
7792410128803,71.2,14,816,1
8000350004705,0,0,0,1
7796425000031,122,16,156,1
7790036004921,144.45,13,0,1
7793350632184,129,21,168,1
7792070011606,116,26,24,1
7798154950267,0,0,0,1
7798008291218,71,3,48,1
7793024000837,28,0,36,1
77962959,10.56,20,0,1
7790070411815,27.99,137,8950,1
7790040931206,13.09,272,28980,1
7793350000747,93,9,24,1
7797330100656,20,10,378,1
7790828104402,0,0,42,1
7798095171349,18.5,0,0,1
7791620001104,29.99,23,4056,1
7794000598980,15.2,384,1680,1
7790387000078,139,15,496,1
7790263119207,18.5,22,368,1
7798008290648,71,5,132,1
7794450001269,63,21,42,1
7793680001711,57.2,16,420,1
4005900072757,46,18,220,1
7792900000114,71,4,18,1
7792640000269,114,19,372,1
7798159716646,159,12,48,1
7801810712670,182,16,64,1
7790740507770,55.99,11,195,1
7613031587339,169.99,30,1422,1
7792222042496,31,0,0,1
7791905003502,66.9,7,561,1
7790080015164,52.47,8,0,1
7790040930506,13.49,294,16992,1
7791290012202,56.25,18,3108,1
7793147000905,70,10,0,1
7793090500149,41,0,0,1
7798159716509,127.99,6,822,1
7622300863043,4.69,640,103040,1
7790520018618,19.8,22,900,1
7791476039009,15.36,1,770,1
7798039590151,87,3,0,1
7791540140280,78.14,123,0,1
70942127141,126,14,84,1
7792389000568,0,0,0,1
7891010619459,106,17,132,1
3049614083891,0,0,0,1
7793147001216,32.2,291,168,1
7790971001245,0,0,0,1
7791337303065,32.49,86,0,1
7791293025247,31,0,240,1
7790314000232,93,6,66,1
7791200000510,100,15,0,1
7790150100752,56,36,4206,1
7798141877362,85,7,78,1
7798099382178,35,0,0,1
7790790000108,0,0,0,1
7791519701870,140,6,36,1
7791540045042,37.99,272,7380,1
7798045216120,102,0,0,0
7790900008604,121,32,180,1
7790070318282,18.79,1895,41660,1
7622210659002,8.6,0,0,1
7792389001237,0,0,0,1
7790580236519,32.6,21,1620,1
7794626006548,0,0,96,1
7798152220119,92,11,120,1
7798073130764,45.6,6,36,1
7791913001187,0,0,108,1
7791720002681,67,9,456,1
3607342551800,165,0,0,0
7791290013551,79,88,4364,1
7791290012394,22.9,3,23355,1
7798039591660,198,8,0,1
7790240095272,94,20,30,1
7509546012100,44.29,13,6228,1
7798128000257,141,0,0,1
7790580327415,15.5,220,54684,1
7796373002439,0,0,0,1
7798147060140,0,0,0,1
7794640171260,58,24,144,1
7790790000344,3.3,168,50328,1
7792222003442,65,25,192,1
7790990992692,109.99,16,162,1
7798086021288,67,30,108,1
7791293033181,31,25,2316,1
7793253000417,30.3,47,10608,1
7794626007750,416,50,1048,1
7792900092904,35.4,29,336,1
7791720003381,31.5,28,16,1
7790704169969,55,12,366,1
41554238730,0,0,0,0
