retailer,channel,set,Section,Manufacturer,Customer Brand,Sub Brand,Segment_SPT,soa
Petco,Pet Specialty,SPT DOG MAIN MEAL Q1 2018,DOG MAIN MEAL,Mars Incorporated,NUTRO,NUTRO MAX,DOG MM VALUE NATURALS BRANDS,9.8
Petco,Pet Specialty,SPT DOG MAIN MEAL Q1 2018,DOG MAIN MEAL,Mars Incorporated,NUTRO,,DOG MM SUPER PREMIUM NATURALS,7.6
PetSmart,Pet Specialty,SPT DOG MAIN MEAL Q1 2018,DOG MAIN MEAL,Mars Incorporated,NUTRO,NUTRO MAX,DOG MM VALUE NATURALS BRANDS,16.9
PetSmart,Pet Specialty,SPT DOG MAIN MEAL Q1 2018,DOG MAIN MEAL,Mars Incorporated,NUTRO,,DOG MM SUPER PREMIUM NATURALS,12.4
Petco,Pet Specialty,SPT CAT MAIN MEAL Q1 2018,CAT MAIN MEAL,Mars Incorporated,NUTRO,NUTRO MAX,CAT MM VALUE NATURALS BRANDS,31.5
Petco,Pet Specialty,SPT CAT MAIN MEAL Q1 2018,CAT MAIN MEAL,Mars Incorporated,NUTRO,,CAT MM SUPER PREMIUM BRANDS,5.3
PetSmart,Pet Specialty,SPT CAT MAIN MEAL Q1 2018,CAT MAIN MEAL,Mars Incorporated,NUTRO,NUTRO MAX,CAT MM VALUE NATURALS BRANDS,33.0
PetSmart,Pet Specialty,SPT CAT MAIN MEAL Q1 2018,CAT MAIN MEAL,Mars Incorporated,NUTRO,,CAT MM SUPER PREMIUM BRANDS,11.6
Petco,Pet Specialty,SPT DOG TREATS Q1 2018,DOG TREATS,Mars Incorporated,,,,21.5
PetSmart,Pet Specialty,SPT DOG TREATS Q1 2018,DOG TREATS,Mars Incorporated,,,,25.8
Petco,Pet Specialty,SPT CAT TREATS Q1 2018,CAT TREATS,Mars Incorporated,,,,49.8
PetSmart,Pet Specialty,SPT CAT TREATS Q1 2018,CAT TREATS,Mars Incorporated,,,,58.0
